
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      3,540 K
Registry                       144 Services                   0     19,504 K
smss.exe                       664 Services                   0        412 K
csrss.exe                      924 Services                   0      2,164 K
wininit.exe                    356 Services                   0      1,712 K
csrss.exe                      496 Console                    1      3,980 K
winlogon.exe                   728 Console                    1      2,620 K
services.exe                   692 Services                   0      5,412 K
lsass.exe                      504 Services                   0     13,708 K
svchost.exe                   1160 Services                   0     18,508 K
WUDFHost.exe                  1188 Services                   0      2,752 K
fontdrvhost.exe               1196 Services                   0        752 K
fontdrvhost.exe               1200 Console                    1      1,824 K
svchost.exe                   1340 Services                   0     12,400 K
svchost.exe                   1384 Services                   0      4,516 K
dwm.exe                       1468 Console                    1     70,516 K
svchost.exe                   1564 Services                   0      4,268 K
svchost.exe                   1668 Services                   0      3,412 K
svchost.exe                   1676 Services                   0      3,316 K
svchost.exe                   1712 Services                   0      6,396 K
IntelCpHDCPSvc.exe            1780 Services                   0      1,044 K
svchost.exe                   1792 Services                   0      2,596 K
svchost.exe                   1840 Services                   0      1,564 K
svchost.exe                   1860 Services                   0      2,056 K
svchost.exe                   1884 Services                   0      1,688 K
svchost.exe                   1904 Services                   0      5,436 K
svchost.exe                    780 Services                   0      9,284 K
svchost.exe                   1456 Services                   0      1,752 K
svchost.exe                   1620 Services                   0      5,680 K
IntelCpHeciSvc.exe            2096 Services                   0      1,032 K
svchost.exe                   2288 Services                   0      7,364 K
svchost.exe                   2524 Services                   0      1,384 K
svchost.exe                   2556 Services                   0      6,156 K
svchost.exe                   2648 Services                   0      5,688 K
wsc_proxy.exe                 2720 Services                   0      2,044 K
svchost.exe                   2732 Services                   0      1,560 K
svchost.exe                   2768 Services                   0      5,312 K
svchost.exe                   2780 Services                   0      1,692 K
svchost.exe                   2872 Services                   0      1,136 K
Memory Compression            2908 Services                   0    166,380 K
igfxCUIService.exe            3000 Services                   0      1,056 K
svchost.exe                   2112 Services                   0     17,148 K
svchost.exe                   2216 Services                   0      1,608 K
WUDFHost.exe                  3092 Services                   0      1,732 K
svchost.exe                   3120 Services                   0      2,100 K
svchost.exe                   3128 Services                   0      2,124 K
svchost.exe                   3136 Services                   0      2,408 K
svchost.exe                   3256 Services                   0      2,696 K
svchost.exe                   3296 Services                   0      1,748 K
svchost.exe                   3400 Services                   0      7,776 K
WUDFHost.exe                  3416 Services                   0      3,408 K
svchost.exe                   3500 Services                   0      3,320 K
svchost.exe                   3508 Services                   0      2,568 K
svchost.exe                   3524 Services                   0      2,776 K
svchost.exe                   3712 Services                   0      3,704 K
svchost.exe                   3828 Services                   0      6,064 K
svchost.exe                   3856 Services                   0      2,040 K
AvastSvc.exe                  3872 Services                   0    171,288 K
svchost.exe                   3916 Services                   0      2,276 K
svchost.exe                   3924 Services                   0      3,220 K
wlanext.exe                   4144 Services                   0      1,356 K
conhost.exe                   4156 Services                   0      1,176 K
aswToolsSvc.exe               4236 Services                   0     19,756 K
svchost.exe                   4308 Services                   0      7,856 K
spoolsv.exe                   4428 Services                   0      2,812 K
svchost.exe                   4716 Services                   0      6,748 K
svchost.exe                   4724 Services                   0      6,996 K
svchost.exe                   4732 Services                   0     20,648 K
OfficeClickToRun.exe          4744 Services                   0      9,216 K
DAX3API.exe                   4784 Services                   0      2,820 K
svchost.exe                   4804 Services                   0     11,060 K
FMService64.exe               4836 Services                   0      2,584 K
OneApp.IGCC.WinService.ex     4844 Services                   0      5,652 K
IpOverUsbSvc.exe              4916 Services                   0      3,544 K
esif_uf.exe                   4944 Services                   0      1,604 K
svchost.exe                   4960 Services                   0      4,488 K
mongod.exe                    5020 Services                   0     22,936 K
LMS.exe                       5032 Services                   0      2,312 K
pg_ctl.exe                    5052 Services                   0      1,488 K
svchost.exe                   5060 Services                   0      4,464 K
svchost.exe                   5068 Services                   0      2,288 K
svchost.exe                   3200 Services                   0      1,520 K
RtkAudUService64.exe          4164 Services                   0      2,628 K
Updater.exe                   5176 Services                   0      8,580 K
svchost.exe                   5204 Services                   0      6,624 K
