
Image Name                     PID Session Name        Session#    Mem Usage
Widgets.exe                  10456 Console                    1     30,228 K
SearchHost.exe               10408 Console                    1     14,200 K
StartMenuExperienceHost.e    10548 Console                    1     23,780 K
RuntimeBroker.exe             5264 Console                    1      7,736 K
RuntimeBroker.exe            11096 Console                    1     13,008 K
svchost.exe                  11416 Console                    1      6,264 K
dllhost.exe                  11864 Console                    1      3,340 K
svchost.exe                  13120 Services                   0      7,332 K
ctfmon.exe                   13220 Console                    1     14,048 K
TabTip.exe                   13232 Console                    1      8,444 K
TextInputHost.exe            11220 Console                    1     28,356 K
RtkAudUService64.exe          4992 Console                    1      6,420 K
AvastUI.exe                  12876 Console                    1     39,772 K
OneDrive.exe                 12892 Console                    1    729,764 K
Microsoft.SharePoint.exe     12368 Console                    1     16,212 K
Cortana.exe                  15008 Console                    1      3,344 K
msteams.exe                  15032 Console                    1     15,560 K
RuntimeBroker.exe            15144 Console                    1      5,952 K
svchost.exe                  15220 Services                   0     10,476 K
svchost.exe                  15336 Services                   0     18,256 K
ApplicationFrameHost.exe     10748 Console                    1     11,696 K
ONENOTEM.EXE                 15356 Console                    1      1,292 K
svchost.exe                  14416 Console                    1      9,108 K
svchost.exe                  15524 Services                   0      4,064 K
RuntimeBroker.exe            15660 Console                    1      4,312 K
msedgewebview2.exe           15936 Console                    1     40,008 K
msedgewebview2.exe           16120 Console                    1      2,372 K
msedgewebview2.exe           16340 Console                    1     12,696 K
msedgewebview2.exe           16356 Console                    1     16,372 K
msedgewebview2.exe           11596 Console                    1      6,644 K
msedgewebview2.exe            2568 Console                    1     47,268 K
RuntimeBroker.exe            17216 Console                    1      6,368 K
aesm_service.exe              2360 Services                   0      7,044 K
svchost.exe                    672 Services                   0     13,996 K
svchost.exe                   5328 Services                   0      8,236 K
SgrmBroker.exe               17264 Services                   0      8,296 K
SocketHeciServer.exe          2492 Services                   0      3,812 K
svchost.exe                  17480 Services                   0      4,736 K
svchost.exe                  17520 Console                    1      5,764 K
dllhost.exe                   5500 Console                    1      3,324 K
SystemSettingsBroker.exe      1520 Console                    1      5,428 K
FileCoAuth.exe                1732 Console                    1     14,284 K
AvastUI.exe                  16248 Console                    1      9,428 K
AvastUI.exe                   3788 Console                    1      8,884 K
LockApp.exe                  18180 Console                    1     22,824 K
RuntimeBroker.exe            11408 Console                    1     24,028 K
armsvc.exe                   13956 Services                   0      2,460 K
SearchIndexer.exe             9012 Services                   0     31,252 K
SystemSettings.exe            9756 Console                    1        652 K
UserOOBEBroker.exe           14484 Console                    1      5,052 K
svchost.exe                   2828 Services                   0      5,720 K
Video.UI.exe                 17348 Console                    1      1,184 K
RuntimeBroker.exe            18268 Console                    1      9,824 K
svchost.exe                  17816 Services                   0     19,128 K
Teams.exe                     8648 Console                    1     66,420 K
Teams.exe                     4516 Console                    1     67,220 K
Teams.exe                    19348 Console                    1     14,740 K
Teams.exe                     9512 Console                    1      4,604 K
Teams.exe                    18560 Console                    1    162,784 K
Teams.exe                    12816 Console                    1      5,700 K
Teams.exe                    18776 Console                    1     37,496 K
Teams.exe                    18132 Console                    1     53,820 K
RtkUWP.exe                   19256 Console                    1      2,184 K
RuntimeBroker.exe             9804 Console                    1      4,724 K
msedge.exe                   14724 Console                    1     74,928 K
msedge.exe                   19228 Console                    1      3,256 K
msedge.exe                    5280 Console                    1      9,272 K
msedge.exe                   19412 Console                    1     21,848 K
msedge.exe                    1916 Console                    1      6,900 K
svchost.exe                   2412 Services                   0      9,556 K
AutoHotkey.exe               18240 Console                    1      5,056 K
svchost.exe                  13336 Services                   0      6,892 K
audiodg.exe                  15788 Services                   0     17,744 K
msedgewebview2.exe            3580 Console                    1     10,088 K
msedgewebview2.exe           14396 Console                    1      1,824 K
msedgewebview2.exe           12916 Console                    1      6,356 K
msedgewebview2.exe            9392 Console                    1      2,576 K
msedgewebview2.exe           15976 Console                    1      1,680 K
msedgewebview2.exe           18128 Console                    1      4,180 K
unsecapp.exe                  9440 Services                   0      3,548 K
svchost.exe                  11456 Services                   0      2,564 K
ShellExperienceHost.exe      20352 Console                    1      6,256 K
RuntimeBroker.exe            13936 Console                    1     10,968 K
chrome.exe                   15944 Console                    1    160,244 K
chrome.exe                   15416 Console                    1      3,452 K
chrome.exe                   13024 Console                    1     82,496 K
chrome.exe                    2700 Console                    1     36,664 K
chrome.exe                    7748 Console                    1     10,696 K
chrome.exe                   14728 Console                    1     14,876 K
chrome.exe                   21100 Console                    1     37,940 K
chrome.exe                   15584 Console                    1     65,352 K
chrome.exe                   11036 Console                    1     34,476 K
chrome.exe                   18532 Console                    1      6,736 K
chrome.exe                    5504 Console                    1     14,844 K
chrome.exe                    4680 Console                    1      7,252 K
chrome.exe                   20596 Console                    1     33,932 K
chrome.exe                   11364 Console                    1      7,576 K
chrome.exe                   15160 Console                    1     15,384 K
chrome.exe                   18744 Console                    1     41,232 K
chrome.exe                   19932 Console                    1      9,212 K
chrome.exe                   13884 Console                    1    127,232 K
chrome.exe                   20052 Console                    1     10,096 K
backgroundTaskHost.exe        7904 Console                    1        596 K
SystemSettingsBroker.exe      3768 Console                    1     10,424 K
svchost.exe                  18120 Services                   0      3,228 K
svchost.exe                   8048 Services                   0      6,348 K
svchost.exe                   6944 Console                    1      3,612 K
svchost.exe                  16328 Services                   0      2,848 K
svchost.exe                  19960 Services                   0      1,604 K
XboxGameBarSpotify.exe       13920 Console                    1      1,448 K
RuntimeBroker.exe            13208 Console                    1      4,708 K
